MIR770	MIRN770|hsa-mir-770	microRNA 770
ALDH2		aldehyde dehydrogenase 2 family (mitochondrial)
TRG-GCC2-3	TRNAG16	transfer RNA glycine 16 (anticodon GCC)
AKR1A1	ALR|DD3	aldo-keto reductase family 1, member A1 (aldehyde reductase)|dihydrodiol dehydrogenase 3
RNA5SP328	RN5S328	RNA, 5S ribosomal pseudogene 328
FAM188A	my042|CARP|C10orf97|DERP5|FLJ13397	caspase recruitment domain containing pro-apoptotic protein|family with sequence similarity 188, member A|CARD-containing protein
OR6R1P		olfactory receptor, family 6, subfamily R, member 1 pseudogene
RNU6-644P		RNA, U6 small nuclear 644, pseudogene
ZP4	ZPB	zona pellucida glycoprotein 4
OR7E4P	OR11-11a|OR7F4P	olfactory receptor, family 7, subfamily E, member 4 pseudogene
TSIX	NCRNA00013|XIST-AS1|LINC00013	XIST antisense RNA (non-protein coding)|TSIX transcript, XIST antisense RNA|long intergenic non-protein coding RNA 13
KIAA1033	SWIP	KIAA1033
PIP4K2C	PIP5K2C|FLJ22055	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma
WSN		Waisman syndrome
AP3B1	ADTB3A|HPS2	adaptor-related protein complex 3, beta 1 subunit
ATP6V0D1	ATP6DV|VPATPD|VATX|ATP6D|P39|Vma6	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1
CPZ		metallocarboxypeptidase Z|carboxypeptidase Z
ZNF721	KIAA1982	zinc finger protein 721
NMTRQ-TTG6-1	TRNAQ47P	transfer RNA glutamine 47 (anticodon UUG) pseudogene
IQCF5		IQ motif containing F5
PKD1L1	PRO19563	polycystic kidney disease 1 like 1|polycystin-1L1
MIR423	MIRN423|hsa-mir-423	microRNA 423
NR2F2	COUP-TFII|SVP40|NF-E3|ARP1|TFCOUP2|COUPTFB	nuclear receptor subfamily 2, group F, member 2
APOBEC3AP1		apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A pseudogene 1
PRL		prolactin
RNU7-26P	U7.26	RNA, U7 small nuclear 26 pseudogene
WARS2	TrpRS	tryptophan tRNA ligase 2, mitochondrial|tryptophanyl tRNA synthetase 2, mitochondrial
HAUS6	dgt6|FAM29A|FLJ20060|KIAA1574	HAUS augmin-like complex, subunit 6
RCD1		retinal cone dystrophy 1
ANKRD35	FLJ25124	ankyrin repeat domain 35
TRPS1	LGCR	trichorhinophalangeal syndrome I
USP10P2		ubiquitin specific peptidase10 pseudogene 2
HSF1	HSTF1	heat shock transcription factor 1
DHFRP2		dihydrofolate reductase pseudogene 2
CFL1P4	CFLP4|CFLL4	cofilin 1 (non-muscle) pseudogene 4|cofilin-like 4
RPL30P4		ribosomal protein L30 pseudogene 4
GPC1	glypican	glypican proteoglycan 1|glypican 1
IGKV1-27	A20|IGKV127	immunoglobulin kappa variable 1-27
PCDHB2	PCDH-BETA2	protocadherin beta 2
BRD7P3		bromodomain containing 7 pseudogene 3
CTRC	CLCR|ELA4	elastase 4|chymotrypsin C (caldecrin)
GORASP1	GRASP65|GOLPH5|FLJ23443|P65	golgi reassembly stacking protein 1, 65kDa
TPST1	TANGO13A	transport and golgi organization 13 homolog A (Drosophila)|tyrosylprotein sulfotransferase 1
MIR4424	hsa-mir-4424	microRNA 4424
HIST1H3J	H3FJ|H3/j	histone cluster 1, H3j
REXO2	DKFZP566E144|SFN|CGI-114	RNA exonuclease 2|REX2, RNA exonuclease 2 homolog (S. cerevisiae)
VN1R100P		vomeronasal 1 receptor 100 pseudogene
ELOVL7	FLJ23563	ELOVL fatty acid elongase 7
GRIP2	KIAA1719	glutamate receptor interacting protein 2
ZNF91	HPF7|HTF10	zinc finger protein 91
STMN3	SCLIP	stathmin-like 3
GRM7-AS2		GRM7 antisense RNA 2
RNU7-62P	U7.62	RNA, U7 small nuclear 62 pseudogene
ATP10D	KIAA1487|ATPVD	ATPase, class V, type 10D
OR2E1P	hs6M1-9|hs6M1-9p|OR2E2|OR2E1|HS29K1|HSNH0569I24	olfactory receptor, family 2, subfamily E, member 1 pseudogene
RPH3A	KIAA0985|rabphilin|exophilin-1	rabphilin 3A homolog (mouse)
NSMF	NELF	NMDA receptor synaptonuclear signaling and neuronal migration factor
RPS19P5		ribosomal protein S19 pseudogene 5
CHST3	C6ST1|C6ST	carbohydrate (chondroitin 6) sulfotransferase 3
MIR32	hsa-mir-32|MIRN32	microRNA 32
RNU6ATAC34P		RNA, U6atac small nuclear 34, pseudogene
PRR4	PROL4|LPRP	proline rich 4 (lacrimal)
MRX86		mental retardation, X-linked 86
MIR27B	MIRN27B|hsa-mir-27b|MIR-27b	microRNA 27b
PARP16	pART15|FLJ25281|C15orf30|FLJ20509	poly (ADP-ribose) polymerase family, member 16
RN7SKP239		RNA, 7SK small nuclear pseudogene 239
TMEM99	MGC21518	transmembrane protein 99
MIR520H	hsa-mir-520h|MIRN520H	microRNA 520h
SLC14A2-AS1		
DFNB27		deafness, autosomal recessive 27
VN1R105P		vomeronasal 1 receptor 105 pseudogene
USP30	MGC10702|FLJ40511	ubiquitin specific peptidase 30
SNORD116-12	HBII-85-12	small nucleolar RNA, C/D box 116-12
COPG1	COPG	coatomer protein complex, subunit gamma 1|coat protein gamma-cop
SIGLEC14		sialic acid binding Ig-like lectin 14
USB1	FLJ13154|Mpn1|C16orf57|HVSL1	poikiloderma with neutropenia|U6 snRNA biogenesis 1|U six biogenesis 1|mutated in poikiloderma with neutropenia protein 1|HVSL motif containing 1
GHRHR		growth hormone releasing hormone receptor
CELA3A	ELA3A|ELA3	chymotrypsin-like elastase family, member 3A|protease E
ODC1	ODC	ornithine decarboxylase 1
KNPEP		lysyl aminopeptidase (aminopeptidase Co)
ZNF90P3		zinc finger protein 90 pseudogene 3
FUT11	MGC33202	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
FGB		fibrinogen beta chain
SLC45A4	KIAA1126	solute carrier family 45, member 4
CEMIP	KIAA1199|IR2155535|TMEM2L	cell migration inducing protein, hyaluronan binding|KIAA1199
PFAS	PURL|FGARAT|KIAA0361	FGAR amidotransferase|phosphoribosylformylglycinamidine synthase
TRF-GAA7-1	TRNAF12	transfer RNA phenylalanine 12 (anticodon GAA)
LINC00200	FLJ40354|C10orf139|NCRNA00200	long intergenic non-protein coding RNA 200
MIR4288	hsa-mir-4288	microRNA 4288
RPL36A	RPL44|L36A	ribosomal protein L36a
VN1R96P		vomeronasal 1 receptor 96 pseudogene
DDHD1	SPG28|KIAA1705|PA-PLA1	spastic paraplegia 28 (autosomal recessive)|DDHD domain containing 1|phosphatidic acid-preferring phospholipase A1
RAB40A	RAR2A|Rar-2	RAB40A, member RAS oncogene family
HMGN1P4		high mobility group nucleosome binding domain 1 pseudogene 4
ILF2	NF45	interleukin enhancer binding factor 2
INTS8	INT8|MGC131633|C8orf52|FLJ20530	integrator complex subunit 8
WDR66	CaM-IP4|MGC33630	WD repeat domain 66
RNU6-457P		RNA, U6 small nuclear 457, pseudogene
RPL17P17		ribosomal protein L17 pseudogene 17
TRP-TGG3-5	TRNAP3|TRP3	transfer RNA proline 3 (anticodon UGG)
SIGLEC6	OB-BP1|CD327|SIGLEC-6|CD33L|CD33L1	sialic acid binding Ig-like lectin 6
UBQLN4P1	UBQLN4P|C3orf12	ubiquilin 4 pseudogene 1
ABLIM3	KIAA0843	actin binding LIM protein family, member 3
HOXC9	HOX3B|HOX3	homeobox C9
ARMC2-AS1		ARMC2 antisense RNA 1
RPL36AP9		ribosomal protein L36a pseudogene 9
NPM1P11		nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 11
RPL13AP25		ribosomal protein L13a pseudogene 25
HIST1H2BB	H2B/f|H2BFF	histone cluster 1, H2bb
MIR181D	MIRN181D|hsa-mir-181d	microRNA 181d
FSCN1P1		fascin actin-bundling protein 1 pseudogene 1
PIRC19		piwi-interacting RNA cluster 19
SP140L		SP140 nuclear body protein-like
MIR570	hsa-mir-570|MIRN570	microRNA 570
IFNA20P	IFNP20	interferon, alpha 20, pseudogene
FADS2	SLL0262|TU13|D6D|DES6|LLCDL2|FADSD6	delta-6-desaturase|fatty acid desaturase 2
CCNE1	CCNE	cyclin Es|cyclin Et|cyclin E1
OR5D17P		olfactory receptor, family 5, subfamily D, member 17 pseudogene
C1orf185	FLJ27485	chromosome 1 open reading frame 185
TBCAP3		tubulin folding cofactor A pseudogene 3
PPWD1	KIAA0073	peptidylprolyl isomerase domain and WD repeat containing 1
FGFR4	CD334|JTK2	fibroblast growth factor receptor 4
TSPY7P	TSPYP7	testis specific protein, Y-linked 7, pseudogene
SCAF11	CASP11|SRRP129|SIP1|SFRS2IP|SRSF2IP	SR-related CTD-associated factor 11
SSTR2		somatostatin receptor 2
MLH3		mutL homolog 3|mutL homolog 3 (E. coli)
PRDM15	ZNF298|C21orf83	PR domain containing 15
CCDC168	FLJ40176|C13orf40	coiled-coil domain containing 168
SNHG15	C7orf40|MYO1GUT|FLJ38860|Linc-Myo1g|MYO1GUN	small nucleolar RNA host gene 15 (non-protein coding)
NALCN-AS1		NALCN antisense RNA 1
CYFIP2	PIR121	cytoplasmic FMR1 interacting protein 2|p53 inducible protein
RASGRF2	GRF2|Ras-GRF2	Ras protein-specific guanine nucleotide-releasing factor 2
ARL4P2		ADP-ribosylation factor-like 4 pseudogene 2
PCBP4	MCG10|LIP4	LYST-interacting protein|alphaCP-4 protein|poly(rC) binding protein 4|RNA binding protein MCG10
KDELR1	ERD2|HDEL|ERD2.1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
SLC25A40	MCFP	solute carrier family 25, member 40
PNMT	PENT	phenylethanolamine N-methyltransferase
RPL39P38		ribosomal protein L39 pseudogene 38
RFPL4AP4		ret finger protein-like 4A pseudogene 4
RN7SL498P		RNA, 7SL, cytoplasmic 498, pseudogene
GABRQ	THETA	gamma-aminobutyric acid (GABA) A receptor, theta|GABA(A) receptor, theta
MIR4747	hsa-mir-4747	microRNA 4747
RNU6-262P		RNA, U6 small nuclear 262, pseudogene
KCNAB1-AS1		KCNAB1 antisense RNA 1
TRAV9-2		T cell receptor alpha variable 9-2
TRAPPC2P9	TRAPPC2P4B	trafficking protein particle complex 2 pseudogene 9
PRDM16	MEL1|PFM13|KIAA1675|MGC166915	PR domain containing 16|MDS1/EVI1-like|PR-domain zinc finger protein 16|transcription factor MEL1
TIPARP-AS1		TIPARP antisense RNA 1
C9orf72	MGC23980	chromosome 9 open reading frame 72
MLLT6	FLJ23480|AF17	Myeloid/lymphoid or mixed-lineage leukemia, translocated to, 6|trithorax homolog|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6
CD48	BCM1|BLAST|mCD48|SLAMF2|hCD48	CD48 molecule
RN7SL782P		RNA, 7SL, cytoplasmic 782, pseudogene
FBXO44	MGC14140|Fbx44|Fbxo6a|FBX30|FBG3	F-box protein 44
IFRD2	IFNRP|SM15|SKMc15	interferon-related developmental regulator 2|interferon-related protein
BEST1	BMD|RP50|VMD2|BEST	Best disease|bestrophin 1
USP12PX	USP12P2	ubiquitin specific peptidase 12 pseudogene, X-linked
CDC37P1	A-761H5.2	cell division cycle 37 pseudogene 1
RNU6-439P		RNA, U6 small nuclear 439, pseudogene
FAM47A	MGC27003	family with sequence similarity 47, member A|similar to hypothetical protein FLJ35782
SLC24A1	HsT17412|NCKX1|NCKX|KIAA0702|CSNB1D|RODX	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
C4orf22		chromosome 4 open reading frame 22
RPS26P26		ribosomal protein S26 pseudogene 26
RPL5P14		ribosomal protein L5 pseudogene 14
UBA5	UBE1DC1|FLJ23251	ubiquitin-like modifier activating enzyme 5|UBA5, ubiquitin-activating enzyme E1 homolog (yeast)
C11orf16		chromosome 11 open reading frame 16
PORCN	MG61|por|DHOF|PPN|PORC	dermal hypoplasia, focal|porcupine homolog (Drosophila)
SPTBN2	SCA5	spectrin, beta, non-erythrocytic 2
PIRC12		piwi-interacting RNA cluster 12
LINC01106	FLJ38359	long intergenic non-protein coding RNA 1106
LGALS7B	GAL7	lectin, galactoside-binding, soluble, 7B|galectin 7B
RNY1P2		RNA, Ro-associated Y1 pseudogene 2
RNU6-771P		RNA, U6 small nuclear 771, pseudogene
OR5M6P		olfactory receptor, family 5, subfamily M, member 6 pseudogene
C11orf53	MGC50104	chromosome 11 open reading frame 53
HADH	SCHAD|HADHSC|HADH1	hydroxyacyl-CoA dehydrogenase
SERPINB3	SCCA1|T4-A|HsT1196|SCC	serpin peptidase inhibitor, clade B (ovalbumin), member 3
HOXA-AS3		HOXA cluster antisense RNA 3
HNRNPD	AUF1|HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
PDILT	PDIA7	protein disulfide isomerase-like protein of the testis|protein disulfide isomerase-like, testis expressed|protein disulfide isomerase family A, member 7
FAM86MP		family with sequence similarity 86, member M, pseudogene
RRS1-AS1		
LINC00624		long intergenic non-protein coding RNA 624
RNU6-284P		RNA, U6 small nuclear 284, pseudogene
SCAMP1-AS1		
RN7SL793P		RNA, 7SL, cytoplasmic 793, pseudogene
PTPRZ2	HTPZP2|PTPRZ	protein tyrosine phosphatase, receptor-type, Z polypeptide 2
FOXA2	HNF3B	forkhead box A2
GP9	GPIX|CD42a	glycoprotein IX (platelet)
LINC01177		long intergenic non-protein coding RNA 1177
RPL35AP35		ribosomal protein L35a pseudogene 35
RN7SL538P		RNA, 7SL, cytoplasmic 538, pseudogene
OR10G4		olfactory receptor, family 10, subfamily G, member 4
PRICKLE1	FLJ31937|EPM1B	prickle homolog 1 (Drosophila)
DNAJC27-AS1		DNAJC27 antisense RNA 1
RPS6P9		ribosomal protein S6 pseudogene 9
MIR376A2	MIRN376A2|hsa-mir-376a-2	microRNA 376a-2
OR6K1P		olfactory receptor, family 6, subfamily K, member 1 pseudogene
CSRNP3	FAM130A2|TAIP-2|PPP1R73|FLJ32093	cysteine-serine-rich nuclear protein 3|TGF beta induced apotosis protein 2|protein phosphatase 1, regulatory subunit 73
GAPDHP53		glyceraldehyde 3 phosphate dehydrogenase pseudogene 53
RPS12P8		ribosomal protein S12 pseudogene 8
P2RX2	DFNA41|P2X2	deafness, autosomal dominant 41|purinergic receptor P2X, ligand-gated ion channel, 2
GSX2	Gsh2	GS homeobox 2
VPS26BP1		VPS26B pseudogene 1
NHLH2	NSCL2|HEN2|bHLHa34	nescient helix loop helix 2
HSD17B4	SDR8C1|MFE-2|DBP	D-3-hydroxyacyl-CoA dehydratase|17-beta-hydroxysteroid dehydrogenase 4|3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase|short chain dehydrogenase/reductase family 8C, member 1|17-beta-HSD IV|peroxisomal multifunctional protein 2|beta-hydroxyacyl dehydrogenase|hydroxysteroid (17-beta) dehydrogenase 4|beta-keto-reductase|17beta-estradiol dehydrogenase type IV|D-bifunctional protein, peroxisomal
ACTL6A	INO80K|Arp4|Baf53a|BAF53A|Actl6	INO80 complex subunit K|actin-related protein 4|BRG1-associated factor|BAF complex 53 kDa subunit|actin-like 6A
PFKFB2		6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
RPS10P26		ribosomal protein S10 pseudogene 26
RPL7L1P10		ribosomal protein L7-like 1 pseudogene 10
ZNF337	dJ694B14.1	zinc finger protein 337
GUSBP9		glucuronidase, beta pseudogene 9
PPP1R12CP		protein phosphatase 1, regulatory (inhibitor) subunit 12C pseudogene
OR2J4P	dJ80I19.5|hs6M1-5|OR6-9	olfactory receptor, family 2, subfamily J, member 4 pseudogene
MIR4272	hsa-mir-4272	microRNA 4272
ATP5G2P2	ATP5GP2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9) pseudogene 2
RPS27AP6		ribosomal protein S27a pseudogene 6
EPX	EPO|EPX-PEN|EPP	eosinophil peroxidase
PMPCB	MPPP52|MPPB	peptidase (mitochondrial processing) beta
TRNAK10		transfer RNA lysine 10 (anticodon CUU)
ABHD17AP3	FAM108A4|FAM108A4P	abhydrolase domain containing 17A pseudogene 3
SCFD1	SLY1|RA410|C14orf163|STXBP1L2|KIAA0917	sec1 family domain containing 1
SRRM3	FLJ37078	serine/arginine repetitive matrix 3
TRH-GTG1-4	TRNAH7	transfer RNA histidine 7 (anticodon GUG)
TRAPPC5	MGC52424|TRS31	trafficking protein particle complex 5
TMEM74	NET36|FLJ30668	transmembrane protein 74
PRAMEF12	OTTHUMG00000001927	PRAME family member 12
NLRP11	NOD17|CLR19.6|NALP11|PAN10|PYPAF6	nucleotide-binding oligomerization domain, leucine rich repeat and pyrin domain containing 11|NLR family, pyrin domain containing 11
RPL10P14		ribosomal protein L10 pseudogene 14
HIVEP1	ZNF40|PRDII-BF1|MBP-1|CIRIP|ZNF40A|ZAS1|Schnurri-1|CRYBP1	human immunodeficiency virus type I enhancer binding protein 1
PPIAP13	PPIP3	peptidylprolyl isomerase A (cyclophilin A) pseudogene 13
RALBP1	RIP|RLIP76|RIP1	ralA binding protein 1
SATB1P1		SATB homeobox 1 pseudogene 1
FZD8		frizzled family receptor 8|frizzled class receptor 8
LIN7A	MALS-1|LIN-7A|TIP-33|VELI1	lin-7 homolog A (C. elegans)|mammalian LIN-7 1
C3orf58	MGC33365|DIA1|HASF	chromosome 3 open reading frame 58|deleted in autism 1
SLC47A1	FLJ10847|MATE1	multidrug and toxin extrusion 1|solute carrier family 47, member 1|solute carrier family 47 (multidrug and toxin extrusion), member 1
SLC35D3	FRCL1	solute carrier family 35, member D3
LINC00448		long intergenic non-protein coding RNA 448
OR1F1	OR1F9|OR1F8|OR1F13P|OR1F6|OR16-37|OLFMF|OR1F7|OR1F5|Olfmf|OR1F4|OR1F10|OR16-88|OR3-145|OR16-89|OR16-90|OR16-36	olfactory receptor, family 1, subfamily F, member 1
RPLP2P2		ribosomal protein, large, P2 pseudogene 2
LINC00583	C9orf146	long intergenic non-protein coding RNA 583
RPS18P2		ribosomal protein S18 pseudogene 2
NUP188	KIAA0169	nucleoporin 188kDa
RNU4-50P		RNA, U4 small nuclear 50, pseudogene
NAA40	NAT11|FLJ13848	N(alpha)-acetyltransferase 40, NatD catalytic subunit, homolog (S. cerevisiae)|N(alpha)-acetyltransferase 40, NatD catalytic subunit
TRG-GCC2-2	TRNAG6	transfer RNA glycine 6 (anticodon GCC)
RNU6-40P	RNU6-40	RNA, U6 small nuclear 40, pseudogene|RNA, U6 small nuclear 40
LONRF2P1		LON peptidase N-terminal domain and ring finger 2 pseudogene 1
SCO2	MYP6|SCO1L	SCO2 cytochrome c oxidase assembly protein
TPRN	FLJ90254|C9orf75|DFNB79	taperin
NRXN1	KIAA0578|Hs.22998	neurexin 1
NFIA	KIAA1439|NFI-L	nuclear factor I/A
TRQ-CTG18-1	TRNAQ28	transfer RNA glutamine 28 (anticodon CUG)
ARRDC4	FLJ36045	arrestin domain containing 4
ANKRD20A8P	ANKRD20B	ankyrin repeat domain 20 family, member A8, pseudogene
SDHDP7		succinate dehydrogenase complex, subunit D, integral membrane protein pseudogene 7
GJB1	CMTX1|CMTX|CX32	Charcot-Marie-Tooth neuropathy, X-linked|connexin 32|gap junction protein, beta 1, 32kDa
SLC50A1	SWEET1|slv|RP11-540D14.5|RZPDo834D038D|SCP|HsSWEET1|RAG1AP1	solute carrier family 50 (sugar efflux transporter), member 1|stromal cell protein|solute carrier family 50 (sugar transporter), member 1
DPYD-AS1		DPYD antisense RNA 1
POLR3KP1		polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa pseudogene 1
ZNF75CP	ZNF75C	zinc finger protein 75C, pseudogene|zinc finger protein 75C pseudogene
KCNK4	K2p4.1|TRAAK	potassium channel, subfamily K, member 4
CWC27	SDCCAG10|NY-CO-10	CWC27 spliceosome-associated protein homolog (S. cerevisiae)
ZNHIT1	H_DJ0747G18.14|ZNFN4A1|CG1I	zinc finger, HIT-type containing 1|putative cyclin G1 interacting protein
CRYM	DFNA40	thiomorpholine-carboxylate dehydrogenase|crystallin, mu
TPCN2	TPC2	two pore segment channel 2
C18orf32	FLJ23458	chromosome 18 open reading frame 32
SNORD114-19	14q(II-19)	small nucleolar RNA, C/D box 114-19
CCDC137	MGC16597	coiled-coil domain containing 137
RPL7P38		ribosomal protein L7 pseudogene 38
MSX2	HOX8|MSH|FPP|PFM1|CRS2|PFM	craniosynostosis, type 2|msh homeobox 2
SATB2-AS1		SATB2 antisense RNA 1
GPR156	GABABL|PGR28	G protein-coupled receptor 156
SOCS1	Cish1|JAB|TIP3|SOCS-1|SSI-1	suppressor of cytokine signaling 1
APLNR	APJ|FLJ90771|APJR|AGTRL1	APJ (apelin) receptor|apelin receptor
TGIF2P3		TGFB-induced factor homeobox 2 pseudogene 3
RN7SL815P		RNA, 7SL, cytoplasmic 815, pseudogene
ATP5LP6		ATP synthase, H+ transporting, mitochondrial Fo complex, subunit g, pseudogene 6
PRMT5P1		protein arginine methyltransferase 5 pseudogene 1
GPM6BP2		glycoprotein M6B pseudogene 2
MIR4473	hsa-mir-4473	microRNA 4473
OR4C10P		olfactory receptor, family 4, subfamily C, member 10 pseudogene
XAGE1B	CT12.1b	X antigen family, member 1B|cancer/testis antigen family 12, member 1b
RNU6-1290P		RNA, U6 small nuclear 1290, pseudogene
IGKV1OR-2	IGKV1/OR-2|IGKVPZ2	immunoglobulin kappa variable 1/OR-2 (pseudogene)
RIMBP3	KIAA1666|RIMBP3.1|RIMBP3A	RIMS binding protein 3
LRSAM1	FLJ31641	leucine rich repeat and sterile alpha motif containing 1
MIR3152	hsa-mir-3152	microRNA 3152
RNU6-1338P		RNA, U6 small nuclear 1338, pseudogene
VSTM5	LOC387804|C11orf90	V-set and transmembrane domain containing 5
IL10RA	IL10R|CD210a|CDW210A|CD210|HIL-10R	interleukin 10 receptor, alpha
RPS26P30		ribosomal protein S26 pseudogene 30
TICAM1	TICAM-1|MGC35334|TRIF|PRVTIRB	toll-like receptor adaptor molecule 1
FGGY	FLJ10986	FGGY carbohydrate kinase domain containing
RIMBP3C		RIMS binding protein 3C
ST3GAL2	SIAT4B|ST3GalA.2|ST3GALII	ST3 beta-galactoside alpha-2,3-sialyltransferase 2
COBLL1	KIAA0977	cordon-bleu WH2 repeat protein-like 1
ZMYM1	MYM|FLJ23151	zinc finger, MYM-type 1
LTA	LT|TNFB|TNFSF1	lymphotoxin alpha (TNF superfamily, member 1)|lymphotoxin alpha
NPTN-IT1	lncRNA-LET	NPTN intronic transcript 1 (non-protein coding)
RPSAP45		ribosomal protein SA pseudogene 45
VAV2		vav 2 guanine nucleotide exchange factor
GPT	ALT1|GPT1	glutamic-pyruvate transaminase (alanine aminotransferase)
NOTCH2		notch 2
RPL21P96		ribosomal protein L21 pseudogene 96
RPL21P15	HsT18206	ribosomal protein L21 pseudogene 15
STAC2	24b2	SH3 and cysteine rich domain 2
WAC-AS1		WAC antisense RNA 1 (head to head)
ADH4	ADH-2	alcohol dehydrogenase 4 (class II), pi polypeptide
EDF1	EDF-1	multiprotein bridging factor-1|endothelial differentiation-related factor 1
SIRT1	SIR2L1	sirtuin 1
CYB5D1	FLJ32499	cytochrome b5 domain containing 1
MIR519D	MIRN519D|hsa-mir-519d	microRNA 519d
EMR3		egf-like module containing, mucin-like, hormone receptor-like 3
BRICD5	MGC21830|C16orf79	BRICHOS domain containing 5
PDE9A		phosphodiesterase 9A
RNU6-626P		RNA, U6 small nuclear 626, pseudogene
RNU6-1335P		RNA, U6 small nuclear 1335, pseudogene
CUL4A		cullin 4A
OR10W1	OR10W1P	olfactory receptor, family 10, subfamily W, member 1
ZFP30	KIAA0961|ZNF745	ZFP30 zinc finger protein
ALDH4A1	ALDH4|P5CDh	aldehyde dehydrogenase 4 family, member A1
C4BPAP2	C4BPAL2	complement component 4 binding protein, alpha pseudogene 2
GAREML	KIAA2038|FLJ00375|FAM59B	GRB2 associated, regulator of MAPK1-like
RPL29P2		ribosomal protein L29 pseudogene 2
OTUB2	FLJ21916|C14orf137|MGC3102	OTU domain, ubiquitin aldehyde binding 2|OTU deubiquitinase, ubiquitin aldehyde binding 2
EPO	EP	erythropoietin
TRF-GAA9-1	TRNAF17P	transfer RNA phenylalanine 17 (anticodon GAA) pseudogene
TAF9BP1		TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa pseudogene 1
ZNF443	ZK1	zinc finger protein 443
STX1B	STX1B2|STX1B1	syntaxin 1B
RNU6-865P		RNA, U6 small nuclear 865, pseudogene
KLK2		kallikrein-related peptidase 2
ITM2BP1	ITM2BP|HsT33912	integral membrane protein 2B pseudogene|integral membrane protein 2B pseudogene 1
